Author,DocumentID
Al Franken,1
Al Franken,2
Al Franken,3
Al Franken,4
Al Franken,5
Al Franken,6
Al Franken,7
Al Franken,8
Al Franken,9
Al Franken,10
Al Franken,11
Al Franken,12
Al Franken,13
Al Franken,14
Al Franken,15
Al Franken,16
Al Franken,17
Al Franken,18
Al Franken,19
Amy Klobuchar,20
Amy Klobuchar,21
Amy Klobuchar,22
Amy Klobuchar,23
Amy Klobuchar,24
Amy Klobuchar,25
Amy Klobuchar,26
Amy Klobuchar,27
Amy Klobuchar,28
Amy Klobuchar,29
Amy Klobuchar,30
Amy Klobuchar,31
Amy Klobuchar,32
Amy Klobuchar,33
Amy Klobuchar,34
Amy Klobuchar,35
Amy Klobuchar,36
Amy Klobuchar,37
Amy Klobuchar,38
Arlen Specter,39
Arlen Specter,40
Arlen Specter,41
Arlen Specter,42
Arlen Specter,43
Arlen Specter,44
Arlen Specter,45
Arlen Specter,46
Arlen Specter,47
Arlen Specter,48
Arlen Specter,49
Arlen Specter,50
Arlen Specter,51
Arlen Specter,52
Arlen Specter,53
Barbara Boxer,54
Barbara Boxer,55
Barbara Boxer,56
Barbara Boxer,57
Barbara Boxer,58
Barbara Boxer,59
Barbara Boxer,60
Barbara Boxer,61
Barbara Boxer,62
Barbara Boxer,63
Barbara Mikulski,64
Barbara Mikulski,65
Barbara Mikulski,66
Barbara Mikulski,67
Barbara Mikulski,68
Barbara Mikulski,69
Barbara Mikulski,70
Barbara Mikulski,71
Barbara Mikulski,72
Barbara Mikulski,73
Barbara Mikulski,74
Barbara Mikulski,75
Barbara Mikulski,76
Barbara Mikulski,77
Barbara Mikulski,78
Ben Nelson,79
Ben Nelson,80
Ben Nelson,81
Ben Nelson,82
Ben Nelson,83
Ben Nelson,84
Ben Nelson,85
Ben Nelson,86
Ben Nelson,87
Ben Nelson,88
Ben Nelson,89
Ben Nelson,90
Ben Nelson,91
Ben Nelson,92
Ben Nelson,93
Ben Nelson,94
Ben Nelson,95
Ben Nelson,96
Ben Nelson,97
Benjamin Cardin,98
Benjamin Cardin,99
