"Term","Value"
"sherrod",-0.367113640790284
"(Intercept)",-0.326381089199051
"sheldon",-0.248561033724112
"dec",-0.195538182296120
"possess",-0.167743060869615
"salaries",-0.157776253771782
"tom",-0.151706268666292
"debbie",-0.151023577200938
"dark",-0.147650057077963
"lautenberg",-0.132529224629587
"fought",-0.106493959580373
"kerry",-0.0910264764107124
"deputy",-0.0859336005051576
"reed",-0.0746729863680164
"calif",-0.0720202064770643
"help",-0.0688959529255924
"schumer",-0.066474714748753
"durbin",-0.0643106044763645
"chair",-0.0627039455184932
"chaired",-0.0590822601498751
"whitehouse",-0.0587633277054644
"blocked",-0.0585575626340635
"impressed",-0.0484486971399818
"wisely",-0.0479350392289782
"300",-0.0473847950952905
"frank",-0.0430683421201804
"assignments",-0.0409785964925693
"inouye",-0.0396790668578465
"subcommittee",-0.0380680208130482
"fbi",-0.0373165324021965
"banning",-0.0354990538473626
"250",-0.0346215277488855
"students",-0.0323116874416227
"ensure",-0.0322331849362057
"framework",-0.0316857033187311
"tim",-0.0310763963431411
"announced",-0.0302968513788031
"boost",-0.0287795926037999
"implementation",-0.0285963958229446
"524",-0.0282345664561479
"develop",-0.0280780631862045
"abstract",-0.024566493276507
"includes",-0.0217962744879939
"harkin",-0.0209475931096614
"vermont",-0.0200601726487724
"investments",-0.0175029619105136
"proud",-0.0173538092252006
"positions",-0.0171592833694085
"jay",-0.0158315467268631
"illinois",-0.0142535914100483
