"Term","Value"
"sherrod",-0.520677424888169
"whitehouse",-0.35726002846139
"dec",-0.337582035334227
"lautenberg",-0.313251751394974
"(Intercept)",-0.289888059625031
"debbie",-0.271050000919902
"tom",-0.240807242988137
"illinois",-0.190969296258171
"schumer",-0.174411424521087
"reed",-0.172864139300440
"fought",-0.162415121272215
"salaries",-0.161118111366974
"dark",-0.158831456415252
"deputy",-0.141469840826992
"blocked",-0.132740865336378
"calif",-0.120790931778906
"help",-0.115272874835831
"hawaii",-0.111377986248721
"vermonters",-0.110141618848863
"kerry",-0.107764710471213
"relations",-0.10643897022021
"internet",-0.0992128848830472
"proud",-0.0896231648620179
"chaired",-0.0882285656857338
"minnesotans",-0.0814883649051334
"subcommittee",-0.0813339991028633
"300",-0.0795677845891049
"ensure",-0.0794692358133996
"wisely",-0.0730739401143647
"positions",-0.069104016199828
"minnesota",-0.0670996887701464
"banning",-0.0642939564536016
"insurers",-0.0590218497958808
"1994",-0.0585621022389774
"tim",-0.0574092702797
"parties",-0.0565299919109916
"funds",-0.0563632597800073
"oregon",-0.0480551756711116
"boost",-0.0450502742397015
"senator",-0.0438288796068119
"announced",-0.0436467078791711
"girls",-0.0399787288037742
"research",-0.0373633919249774
"imported",-0.0357981227282151
"250",-0.0353091500888988
"students",-0.0309599958709625
"chair",-0.0300868989836762
"implementation",-0.0288411461780921
"prevention",-0.0269464768892385
"chairwoman",-0.0246708943029977
