"Term","Value"
"(Intercept)",-0.303713226556902
"cedar",-0.224105637783845
"chaired",-0.196981760144174
"dec",-0.157590461382912
"dark",-0.145693283936109
"blocked",-0.137796417694534
"reverses",-0.134273304779081
"1960s",-0.124611650669968
"insurers",-0.0948430299781367
"fought",-0.0925932178201869
"possess",-0.0922515255534667
"banning",-0.0917261708214217
"calif",-0.0900275500708318
"illinois",-0.087178699549784
"1994",-0.0845719814691551
"boost",-0.0830000790568665
"signing",-0.0816184899665557
"deputy",-0.0796003053727778
"help",-0.0793429425385801
"ohioans",-0.0676864819221369
"chair",-0.0621192171463942
"250",-0.0574558445040643
"subcommittee",-0.0492189470943425
"approximately",-0.047763789303109
"students",-0.0474246099821694
"assignments",-0.0470789484087689
"jersey",-0.0465178404030838
"investments",-0.0452713333996665
"skilled",-0.0385978447395320
"helped",-0.0379460552726321
"fbi",-0.0369054690251262
"table",-0.0361106177072556
"researchers",-0.0356202000985152
"island",-0.0351908328624186
"salaries",-0.0343454934452250
"heroic",-0.0341945068249798
"ensure",-0.0339533261248016
"ill",-0.0326753857400684
"300",-0.0318316906848196
"prevention",-0.0277167890082589
"develop",-0.0276042645286309
"proud",-0.0256240877864696
"building",-0.0256117896173060
"internet",-0.0241499844072388
"refineries",-0.0211248677123791
"vermont",-0.0169408590533470
"hub",-0.0150366048506566
"provide",-0.0142435254328313
"omnibus",-0.0132843744476342
"low",-0.0119383121091238
