"Term","Value"
"taxed",0.098718795637795
"buddies",0.101945277747471
"congratulation",0.103056531592692
"shelby",0.104558189796928
"pursued",0.110531264026149
"graham",0.113831424874669
"crapo",0.126440722210843
"thune",0.126955356952149
"practicing",0.128267703790034
"host",0.130462585628228
"inflation",0.140659778656096
"spite",0.144600862986545
"mike",0.152102047041199
"boone",0.158984045830447
"listen",0.160042202585748
"flawed",0.160623569732233
"reservoir",0.165545082207350
"outrageous",0.169454808980885
"disregard",0.176541372343676
"physician",0.179017727165751
"austal",0.188981598873934
"1108",0.196782621636061
"shoe",0.214308791885318
"2415",0.226625837252720
"profoundly",0.229700901953985
"1st",0.235947035380439
"statutes",0.243489959973703
"anytime",0.246856872322355
"lindsey",0.253546115682203
"attendance",0.255367929755105
"kansans",0.276285727428338
"democrat",0.283428756527331
"ensign",0.283784805151742
"baldwin",0.285535438775774
"trying",0.287438254683743
"undermines",0.299782423904125
"clearest",0.300597777923891
"reaffirms",0.309890368682951
"regarding",0.319735900997625
"admitted",0.356930183876509
"precisely",0.387746411855672
"demint",0.417310031873545
"patriotism",0.465524686663073
"texans",0.492631974777938
"986",0.53156830972603
"sam",0.542406492400698
"neb",0.556174952361953
"administering",0.56051210954802
"johnny",0.587929209469242
"bailey",0.647071764819384
"okla",1.22958683811203
