"Term","Value"
"556",0.115400456877458
"sided",0.116154905251414
"earmark",0.116956647812690
"reaffirms",0.117249216902099
"statutes",0.120785961624408
"commended",0.122642071308706
"flawed",0.12567411512643
"pro",0.12933216105579
"332",0.134124690594499
"611",0.135264712694276
"legend",0.136034454993996
"unfortunate",0.142479346142105
"idaho",0.143177692168553
"13th",0.146921275884520
"tiahrt",0.147047620928308
"1108",0.15824126406554
"austal",0.173266453579629
"except",0.181981843830822
"physician",0.193435053203290
"roger",0.194795030194107
"host",0.195150882403324
"listen",0.200243788198075
"orrin",0.202062835909807
"patch",0.203379272606139
"dennis",0.20980630729136
"precisely",0.214065357945235
"flex",0.217500866723326
"attendance",0.221602142292068
"1st",0.223636645321586
"pursued",0.225147204307476
"eventual",0.228685015006617
"trying",0.239230717557137
"greenville",0.250636768583004
"boone",0.264520838687821
"democrat",0.284336012606136
"undermines",0.297970357858818
"admitted",0.304873230701565
"regarding",0.310687296606277
"anytime",0.340383337504924
"liberals",0.404582685042358
"climbed",0.412455649823211
"patriotism",0.429538963954838
"profoundly",0.458852298748424
"texans",0.46681025310161
"administering",0.515791416020555
"kansans",0.542674141311133
"986",0.577876172501415
"2415",0.638414868067975
"bailey",0.673597930680081
"neb",0.725801499290285
"okla",1.12817160916930
