"Senator","IdealPoint","MinIdealPoint","MaxIdealPoint"
"BUSH (R USA)",1.96014427428005,1.10531684046339,3.0280171286944
"SESSIONS (R AL)",2,2,2
"SHELBY (R AL)",1.24232330496468,0.970908933641566,1.51599242022121
"MURKOWSKI (R AK)",0.915334470926489,0.717147312171285,1.10965484730721
"STEVENS (R AK)",1.17630106465293,0.947579681424543,1.47615666583756
"KYL (R AZ)",1.99694694614792,1.58810793252596,2.45515738941407
"MCCAIN (R AZ)",0.662279711229587,0.499560656946625,0.840880557392874
"PRYOR (D AR)",-0.749388099775588,-0.924112839057756,-0.557455525938344
"LINCOLN (D AR)",-0.639521028206103,-0.782999751691631,-0.43054138293321
"BOXER (D CA)",-1.57029563211892,-1.94703286864349,-1.25260804161690
"FEINSTEIN (D CA)",-0.994327246445233,-1.20938597300050,-0.721226561989734
"ALLARD (R CO)",1.76078554656376,1.41522074051441,2.19166053416113
"CAMPBELL (R CO)",0.797398151299226,0.623042772464523,1.01690909314888
"DODD (D CT)",-1.34872171661582,-1.65801673966389,-1.01288436425659
"LIEBERMAN (D CT)",-0.897036324726549,-1.13392431149446,-0.604377478369536
"BIDEN (D DE)",-0.937711351824475,-1.17207880565895,-0.709441090403098
"CARPER (D DE)",-0.710370668366434,-0.868347674103677,-0.486207659056651
"GRAHAM (D FL)",-1.3126507504539,-1.68171403445996,-1.01592105505839
"NELSON (D FL)",-0.86233778149144,-1.05381470138298,-0.614517760845924
"CHAMBLISS (R GA)",1.43894818799232,1.15456137118876,1.79173991442479
"MILLER (D GA)",1.12177333793257,0.887107526861167,1.42130688125450
"AKAKA (D HI)",-1.42409124779213,-1.75938509825186,-1.13272283657542
"INOUYE (D HI)",-1.15380699008748,-1.44691336651114,-0.87167964043527
"CRAIG (R ID)",1.77785593836104,1.42059147400208,2.29126502671639
"CRAPO (R ID)",1.65120941958376,1.29917042545883,2.11148874950114
"DURBIN (D IL)",-1.65940032888698,-1.99495400109892,-1.27528289518247
"FITZGERALD (R IL)",1.12037921530112,0.859466040449756,1.39024391646029
"BAYH (D IN)",-0.645319712633456,-0.796472174798683,-0.449057039255996
"LUGAR (R IN)",1.14486997827391,0.921805655834588,1.42853168978801
"GRASSLEY (R IA)",1.28620038929475,1.04847977302545,1.55813597847420
"HARKIN (D IA)",-1.63810765274721,-2.02060001702429,-1.28360866193770
"BROWNBACK (R KS)",1.37902921368066,1.08849991872519,1.73767246131062
"ROBERTS (R KS)",1.29761873636552,1.03240793703106,1.60893459310474
"BUNNING (R KY)",1.67225702995057,1.33500049906557,2.08146111329389
"MCCONNELL (R KY)",1.57802287566148,1.25807539122967,1.91600601671623
"BREAUX (D LA)",-0.269680937521711,-0.389494158315066,-0.117345276099768
"LANDRIEU (D LA)",-0.622076140172487,-0.763618659004185,-0.434800617877716
"COLLINS (R ME)",0.475718736912647,0.333720948486317,0.623228300276433
"SNOWE (R ME)",0.399496149939318,0.278940483792283,0.529427090034615
"MIKULSKI (D MD)",-1.41353507083683,-1.73314848349685,-1.07881995246826
"SARBANES (D MD)",-1.67170696999173,-2.02913319851242,-1.33891823826039
"KENNEDY (D MA)",-1.53370568701287,-1.85950382853507,-1.15861367207352
"KERRY (D MA)",-1.61331372933904,-2.19895071760124,-1.13938571648848
"STABENOW (D MI)",-1.40320737479305,-1.70852679096477,-1.10493648995860
"LEVIN (D MI)",-1.57989816651858,-1.87914407835077,-1.21549729173831
"DAYTON (D MN)",-1.15062000153918,-1.44972386097972,-0.861456400417659
"COLEMAN (R MN)",0.92032869233196,0.739353902383338,1.13128740633393
"COCHRAN (R MS)",1.41129039959559,1.14247663129039,1.69141325549368
"LOTT (R MS)",1.50074716404101,1.18977005924847,1.86887716430686
"TALENT (R MO)",1.16321087527605,0.932057414903722,1.48030582002224
"BOND (R MO)",1.13581668881827,0.92390664952137,1.40250660612515
"BAUCUS (D MT)",-0.426148289215601,-0.561111257112794,-0.250167713080135
"BURNS (R MT)",1.53981565816252,1.22143363302922,1.90220516691519
"HAGEL (R NE)",1.12940667036312,0.881404861176816,1.38982452482126
"NELSON (D NE)",-0.153544815672388,-0.268186157224585,-0.0219035606029298
"ENSIGN (R NV)",1.25965767640683,0.963191236018998,1.66721291710484
"REID (D NV)",-1.07738843598682,-1.33229832357644,-0.7940981534214
"GREGG (R NH)",1.11139465851725,0.873133987446881,1.40559472407621
"SUNUNU (R NH)",1.41149233226138,1.12110699955916,1.77474788316638
"CORZINE (D NJ)",-1.45011227803294,-1.76415197623994,-1.10465002293999
"LAUTENBERG (D NJ)",-1.53799541433105,-1.85193551829189,-1.17962107070469
"BINGAMAN (D NM)",-0.924433584997948,-1.15525631380619,-0.699922832213515
"DOMENICI (R NM)",1.32898140714176,1.06436855393853,1.7091067920434
"CLINTON (D NY)",-1.53171755909673,-1.89830388009986,-1.15735145534316
"SCHUMER (D NY)",-1.17975126207223,-1.46570627836435,-0.876325597980886
"EDWARDS (D NC)",-1.41669385372495,-1.84413238230955,-1.04530175088976
"DOLE (R NC)",1.30495450104236,1.03522721419421,1.64329490784861
"CONRAD (D ND)",-0.718046947065822,-0.897721981209584,-0.529687936966932
"DORGAN (D ND)",-0.903466685724628,-1.12641845986637,-0.664716215220025
"DEWINE (R OH)",0.790349478475212,0.622538695175581,0.982760357995028
"VOINOVICH (R OH)",0.904795447393664,0.685310168596005,1.14741765216103
"INHOFE (R OK)",1.70750990465970,1.32289634359716,2.1564269986563
"NICKLES (R OK)",2.08897612950225,1.61623789891283,2.71370015172050
"SMITH (R OR)",0.860884754466894,0.67304435092152,1.07139785383841
"WYDEN (D OR)",-1.07993272128934,-1.32206909265170,-0.791326496288483
"SANTORUM (R PA)",1.57848164864511,1.28673517491164,1.89466076680250
"SPECTER (R PA)",0.531961467648461,0.399135675503423,0.659039010214201
"CHAFEE (R RI)",0.330878878372638,0.218763666799560,0.460089671773215
"REED (D RI)",-1.62292907026179,-1.95231762235455,-1.25466664761216
"HOLLINGS (D SC)",-1.02815812854272,-1.35833324385056,-0.755734006073158
"GRAHAM (R SC)",1.22845037507526,0.975077742535526,1.51228283911083
"DASCHLE (D SD)",-1.10501808188478,-1.37207021016166,-0.828025598436733
"JOHNSON (D SD)",-1.03848982082229,-1.25828976690780,-0.759085406933677
"FRIST (R TN)",1.32887300786426,1.06811613408624,1.64532383315145
"ALEXANDER (R TN)",1.31801630372062,1.02406380658924,1.62679938081463
"CORNYN (R TX)",1.71666402981273,1.36371675775399,2.08987562070413
"HUTCHISON (R TX)",1.00089019382444,0.80786491805122,1.23127864713677
