"Senator","Congress","Party"
"JOHNSON (NA CT)",1,"NA"
"ELLSWORTH (NA CT)",1,"NA"
"BASSETT (NA DE)",1,"NA"
"READ (NA DE)",1,"NA"
"FEW (NA GA)",1,"NA"
"GUNN (NA GA)",1,"NA"
"CARROLL (NA MD)",1,"NA"
"HENRY (NA MD)",1,"NA"
"DALTON (NA MA)",1,"NA"
"STRONG (NA MA)",1,"NA"
"LANGDON (NA NH)",1,"NA"
"WINGATE (NA NH)",1,"NA"
"ELMER (NA NJ)",1,"NA"
"PATERSON (NA NJ)",1,"NA"
"DICKINSON (NA NJ)",1,"NA"
"SCHUYLER (NA NY)",1,"NA"
"KING (NA NY)",1,"NA"
"HAWKINS (NA NC)",1,"NA"
"JOHNSTON (NA NC)",1,"NA"
"MACLAY (NA PA)",1,"NA"
"MORRIS (NA PA)",1,"NA"
"STANTON (NA RI)",1,"NA"
"FOSTER (NA RI)",1,"NA"
"BUTLER (NA SC)",1,"NA"
"IZARD (NA SC)",1,"NA"
"LEE (NA VA)",1,"NA"
"GRAYSON (NA VA)",1,"NA"
"WALKER (NA VA)",1,"NA"
"MONROE (NA VA)",1,"NA"
"ELLSWORTH (NA CT)",2,"NA"
"SHERMAN (NA CT)",2,"NA"
"BASSETT (NA DE)",2,"NA"
"READ (NA DE)",2,"NA"
"GUNN (NA GA)",2,"NA"
"FEW (NA GA)",2,"NA"
"EDWARDS (NA KY)",2,"NA"
"BROWN (NA KY)",2,"NA"
"HENRY (NA MD)",2,"NA"
"CARROLL (NA MD)",2,"NA"
"POTTS (NA MD)",2,"NA"
"STRONG (NA MA)",2,"NA"
"CABOT (NA MA)",2,"NA"
"LANGDON (NA NH)",2,"NA"
"WINGATE (NA NH)",2,"NA"
"DICKINSON (NA NJ)",2,"NA"
"RUTHERFURD (NA NJ)",2,"NA"
"KING (NA NY)",2,"NA"
"BURR (NA NY)",2,"NA"
"JOHNSTON (NA NC)",2,"NA"
"HAWKINS (NA NC)",2,"NA"
"MORRIS (NA PA)",2,"NA"
"STANTON (NA RI)",2,"NA"
"FOSTER (NA RI)",2,"NA"
"BUTLER (NA SC)",2,"NA"
"IZARD (NA SC)",2,"NA"
"ROBINSON (NA VT)",2,"NA"
"BRADLEY (NA VT)",2,"NA"
"MONROE (NA VA)",2,"NA"
"LEE (NA VA)",2,"NA"
"TAYLOR (NA VA)",2,"NA"
"ELLSWORTH (NA CT)",3,"NA"
"SHERMAN (NA CT)",3,"NA"
"MITCHELL (NA CT)",3,"NA"
"VINING (NA DE)",3,"NA"
"LATIMER (NA DE)",3,"NA"
"JACKSON (NA GA)",3,"NA"
"GUNN (NA GA)",3,"NA"
"EDWARDS (NA KY)",3,"NA"
"BROWN (NA KY)",3,"NA"
"POTTS (NA MD)",3,"NA"
"HENRY (NA MD)",3,"NA"
"STRONG (NA MA)",3,"NA"
"CABOT (NA MA)",3,"NA"
"LANGDON (NA NH)",3,"NA"
"LIVERMORE (NA NH)",3,"NA"
"FRELINGHUYS (NA NJ)",3,"NA"
"RUTHERFURD (NA NJ)",3,"NA"
"KING (NA NY)",3,"NA"
"BURR (NA NY)",3,"NA"
"HAWKINS (NA NC)",3,"NA"
"MARTIN (NA NC)",3,"NA"
"MORRIS (NA PA)",3,"NA"
"GALLATIN (NA PA)",3,"NA"
"ROSS (NA PA)",3,"NA"
"BRADFORD (NA RI)",3,"NA"
"FOSTER (NA RI)",3,"NA"
"BUTLER (NA SC)",3,"NA"
"IZARD (NA SC)",3,"NA"
"ROBINSON (NA VT)",3,"NA"
"BRADLEY (NA VT)",3,"NA"
"TAYLOR (NA VA)",3,"NA"
"MONROE (NA VA)",3,"NA"
"TAZEWELL (NA VA)",3,"NA"
"TRUMBULL (Federalist CT)",4,"Federalist"
"ELLSWORTH (Federalist CT)",4,"Federalist"
"HILLHOUSE (Federalist CT)",4,"Federalist"
"TRACY (Federalist CT)",4,"Federalist"
"VINING (Federalist DE)",4,"Federalist"
"LATIMER (Federalist DE)",4,"Federalist"
"GUNN (Federalist GA)",4,"Federalist"
"JACKSON (R GA)",4,"R"
"WALTON (Federalist GA)",4,"Federalist"
"TATTNALL (R GA)",4,"R"
"MARSHALL (Federalist KY)",4,"Federalist"
"BROWN (R KY)",4,"R"
"HENRY (Federalist MD)",4,"Federalist"
"POTTS (Federalist MD)",4,"Federalist"
"HOWARD (Federalist MD)",4,"Federalist"
"STRONG (Federalist MA)",4,"Federalist"
"CABOT (Federalist MA)",4,"Federalist"
"SEDGWICK (Federalist MA)",4,"Federalist"
"GOODHUE (Federalist MA)",4,"Federalist"
"LANGDON (R NH)",4,"R"
"LIVERMORE (Federalist NH)",4,"Federalist"
"RUTHERFURD (Federalist NJ)",4,"Federalist"
"FRELINGHUYS (Federalist NJ)",4,"Federalist"
"STOCKTON (Federalist NJ)",4,"Federalist"
"BURR (R NY)",4,"R"
"KING (Federalist NY)",4,"Federalist"
"LAURANCE (Federalist NY)",4,"Federalist"
"MARTIN (R NC)",4,"R"
"BLOODWORTH (R NC)",4,"R"
"ROSS (Federalist PA)",4,"Federalist"
"BINGHAM (Federalist PA)",4,"Federalist"
"BRADFORD (Federalist RI)",4,"Federalist"
"FOSTER (Federalist RI)",4,"Federalist"
"READ (Federalist SC)",4,"Federalist"
"BUTLER (R SC)",4,"R"
"HUNTER (R SC)",4,"R"
"COCKE (R TN)",4,"R"
"BLOUNT (R TN)",4,"R"
"PAINE (Federalist VT)",4,"Federalist"
"ROBINSON (R VT)",4,"R"
"TICHENOR (Federalist VT)",4,"Federalist"
"TAZEWELL (R VA)",4,"R"
"MASON (R VA)",4,"R"
"HILLHOUSE (Federalist CT)",5,"Federalist"
"TRACY (Federalist CT)",5,"Federalist"
"LATIMER (Federalist DE)",5,"Federalist"
"VINING (Federalist DE)",5,"Federalist"
"CLAYTON (Federalist DE)",5,"Federalist"
