date,session,number,bill,question,result,description,yeatotal,naytotal
2009-01-11,1,1,S. 22,On the Cloture Motion,Agreed to,Motion to Invoke Cloture on the Motion to Proceed to S. 22; Craig Thomas Snake Headwaters Legacy Act of 2008,66,12
2009-01-14,1,2,S. 22,On the Cloture Motion,Agreed to,Motion to Invoke Cloture on S.22.; Craig Thomas Snake Headwaters Legacy Act of 2008,68,24
2009-01-15,1,3,S. 22,On Passage of the Bill,Passed,S.22 as Amended.; Craig Thomas Snake Headwaters Legacy Act of 2008,73,21
2009-01-15,1,4,S. 181,On the Cloture Motion,Agreed to,Motion to Invoke Cloture on the Motion to Proceed to S.181; Lilly Ledbetter Fair Pay Act of 2009,72,23
2009-01-15,1,5,S.J.Res. 5,On the Joint Resolution,Rejected,S.J.Res. 5; A joint resolution relating to the disapproval of obligations under the Emergency Economic Stabilization Act of 2008.,42,52
2009-01-21,1,6,PN64-1,On the Nomination,Confirmed,"Confirmation Hillary Rodham Clinton, of New York, to be Secretary of State",94,2
2009-01-22,1,7,S. 181,On the Amendment S.Amdt. 25,Rejected,Hutchison Amendment No. 25; In the nature of a substitute.,40,55
2009-01-22,1,8,S. 181,On the Motion to Table S.Amdt. 26,Agreed to,Motion to Table Specter Amdt. No. 26; To provide a rule of construction.,53,43
2009-01-22,1,9,S. 181,On the Motion to Table S.Amdt. 27,Agreed to,Motion to Table Specter Amdt. No. 27; To limit the application of the bill to discriminatory compensation decisions.,55,39
2009-01-22,1,10,S. 181,On the Motion to Table S.Amdt. 28,Agreed to,Motion to Table Enzi Amdt. No. 28; To clarify standing.,55,41
2009-01-22,1,11,S. 181,On the Motion to Table S.Amdt. 31,Agreed to,"Motion to Table DeMint Amdt. No. 31; To preserve and protect the free choice of individual employees to form, join, or assist labor organizations, or to refrain from such activities.",66,31
2009-01-22,1,12,S. 181,On the Motion to Table S.Amdt. 37,Agreed to,Motion to Table Isakson Amdt. No. 37; To limit the application of the Act to claims resulting from discriminatory compensation decisions that are adopted on or after the date of enactment of the Act.,59,38
2009-01-22,1,13,S. 181,On the Motion to Table S.Amdt. 34,Agreed to,Motion to Table Vitter Amdt. No. 34; To preserve open competition and Federal Government neutrality towards the labor relations of Federal Government contractors on Federal and federally funded construction projects.,59,38
2009-01-22,1,14,S. 181,On Passage of the Bill,Passed,S. 181; Lilly Ledbetter Fair Pay Act of 2009,61,36
2009-01-26,1,15,PN64-6,On the Nomination,Confirmed,"Confirmation Timothy F. Geithner, of New York, to be Secretary of the Treasury",60,34
2009-01-27,1,16,H.R. 2,On the Motion to Table S.Amdt. 43,Agreed to,Motion to Table Demint Amdt. No. 43; To require States to impose cost-sharing for any individual enrolled in a State child health plan whose income exceeds 200 percent of the poverty line.,60,37
2009-01-27,1,17,PN65-17,On the Nomination,Confirmed,"Confirmation Daniel K. Tarullo, to be a Member of the Board of Governors of the Federal Reserve System",96,1
2009-01-28,1,18,H.R. 2,On the Amendment S.Amdt. 40,Rejected,McConnell Amdt. No. 40; In the nature of a substitute.,32,65
2009-01-28,1,19,H.R. 2,On the Amendment S.Amdt. 65,Rejected,"Martinez Amdt. No. 65; To restore the prohibition on funding of nongovernmental organizations that promote abortion as a method of birth control (the ""Mexico City Policy"").",37,60
2009-01-28,1,20,H.R. 2,On the Motion to Table S.Amdt. 67,Agreed to,"Motion to Table Cornyn Amdt. No. 67; To ensure redistributed funds go towards coverage of low-income children or outreach and enrollment of low-income children, rather than to States that will use the funds to cover children from higher income families.",64,33
2009-01-28,1,21,H.R. 2,On the Amendment S.Amdt. 75,Rejected,Roberts Amdt. No. 75; To prohibit CHIP coverage for higher income children and to prohibit any payments to a State from its CHIP allotments for any fiscal year quarter in which the State Medicaid income eligibility level for children is greater than the income eligibility level for children under CHIP.,36,60
