Congress,Senator,IdealPoint
111,"COBURN (R OK)",2
110,"COBURN (R OK)",2
109,"COBURN (R OK)",2
108,"SESSIONS (R AL)",2
107,"SESSIONS (R AL)",2
106,"SESSIONS (R AL)",2
105,"SESSIONS (R AL)",2
104,"KYL (R AZ)",2
103,"NICKLES (R OK)",2
102,"NICKLES (R OK)",2
101,"NICKLES (R OK)",2
100,"NICKLES (R OK)",2
99,"NICKLES (R OK)",2
98,"NICKLES (R OK)",2
97,"NICKLES (R OK)",2
96,"THURMOND (R SC)",2
95,"THURMOND (R SC)",2
94,"THURMOND (R SC)",2
93,"THURMOND (R SC)",2
92,"THURMOND (R SC)",2
91,"THURMOND (R SC)",2
90,"THURMOND (R SC)",2
